name,url
University of Pennsylvania,https://www.upenn.edu
Georgetown University,https://www.georgetown.edu
Cornell University,https://www.cornell.edu
University of Southern California,https://www.usc.edu
University of Georgia,https://www.uga.edu
Northeastern University,https://www.northeastern.edu
University of Michigan—Ann Arbor,https://umich.edu
Massachusetts Institute of Technology,https://www.mit.edu
Carnegie Mellon University,https://www.cmu.edu
Florida State University,https://www.fsu.edu
New York University,https://www.nyu.edu
Texas A&M University,https://www.tamu.edu
University of Florida,https://www.ufl.edu
University of California—Berkeley,https://www.berkeley.edu
Northwestern University,https://www.northwestern.edu
University of South Florida,https://www.usf.edu
Boston University,https://www.bu.edu
San Diego State University,https://www.sdsu.edu
University of Virginia,https://www.virginia.edu
University of Central Florida,https://www.ucf.edu
Indiana University—Bloomington,https://www.indiana.edu
Florida International University,https://www.fiu.edu
University of Notre Dame,https://www.nd.edu
University of South Carolina,https://www.sc.edu
University of California—Irvine,https://uci.edu
University of Wisconsin—Madison,https://www.wisc.edu
University of Texas—Austin,https://www.utexas.edu
Washington University in St. Louis,https://wustl.edu
Virginia Tech,https://vt.edu
The Ohio State University,https://www.osu.edu
University of Maryland—College Park,https://www.umd.edu
Georgia Institute of Technology,https://www.gatech.edu
University of Illinois Urbana-Champaign,https://illinois.edu
Fashion Institute of Technology,https://www.fitnyc.edu
University of Minnesota—Twin Cities,https://www.umn.edu
University of California—Los Angeles,https://www.ucla.edu
Oklahoma State University,https://okstate.edu
Emory University,https://www.emory.edu
Auburn University,https://auburn.edu
Babson College,https://www.babson.edu
Arizona State University,https://www.asu.edu
Michigan State University,https://msu.edu
Purdue University,https://www.purdue.edu
Washington State University,https://wsu.edu
University of North Carolina—Chapel Hill,https://www.unc.edu
Washington and Lee University,https://www.wlu.edu
Clemson University,https://www.clemson.edu
University of Houston,https://uh.edu
Rutgers University–New Brunswick,https://www.rutgers.edu
Minerva University,https://www.minerva.edu
Wake Forest University,https://www.wfu.edu
Rice University,https://www.rice.edu
University of Iowa,https://uiowa.edu
Iowa State University,https://www.iastate.edu
Texas Tech University,https://www.ttu.edu
College of William & Mary,https://www.wm.edu
University of Tennessee—Knoxville,https://www.utk.edu
University of Oklahoma,https://www.ou.edu
University of Cincinnati,https://www.uc.edu
Hult International Business School,https://www.hult.edu
Penn State University,https://www.psu.edu
University of Arkansas,https://www.uark.edu
University of Mississippi,https://olemiss.edu
University of North Texas,https://www.unt.edu
Cal Poly San Luis Obispo,https://calpoly.edu
Baylor University,https://www.baylor.edu
Syracuse University,https://www.syracuse.edu
Bentley University,https://www.bentley.edu
University of Utah,https://www.utah.edu
University of Richmond,https://www.richmond.edu
George Washington University,https://www.gwu.edu
University of St. Thomas—Minnesota,https://www.stthomas.edu
University of San Diego,https://www.sandiego.edu
University of Massachusetts Amherst,https://www.umass.edu
Villanova University,https://www.villanova.edu
Southern Methodist University,https://www.smu.edu
University of Kansas,https://www.ku.edu
Virginia Commonwealth University,https://www.vcu.edu
Rutgers University–Newark,https://www.newark.rutgers.edu
American University,https://www.american.edu
University of California—San Diego,https://ucsd.edu
University of Massachusetts Lowell,https://www.uml.edu
University of Colorado Boulder,https://www.colorado.edu
Oregon State University,https://oregonstate.edu
University of Kentucky,https://www.uky.edu
Temple University,https://www.temple.edu
Brigham Young University,https://www.byu.edu
Mississippi State University,https://www.msstate.edu
Kansas State University,https://www.k-state.edu
University of Texas—San Antonio,https://www.utsa.edu
University of Pittsburgh,https://www.pitt.edu
North Carolina State University,https://ncsu.edu
University of Nebraska—Lincoln,https://unl.edu
University of Missouri,https://missouri.edu
University of Texas—Dallas,https://utdallas.edu
Brown University,https://www.brown.edu
Louisiana State University,https://www.lsu.edu
San José State University,https://www.sjsu.edu
CUNY Brooklyn College,https://www.brooklyn.cuny.edu
University of West Florida,https://uwf.edu
Stanford University,https://www.stanford.edu/
University of Chicago,https://www.uchicago.edu/
Harvard University,https://www.harvard.edu/
University of California-Berkeley,https://www.berkeley.edu/
Yale University,https://www.yale.edu/
Dartmouth College,https://home.dartmouth.edu/
Columbia University,https://www.columbia.edu/
Duke University,https://www.duke.edu/
University of Texas-Austin,https://www.utexas.edu/
Indiana University,https://www.iu.edu/
University of California-Los Angeles,https://www.ucla.edu/
University of North Carolina-Chapel Hill,https://www.unc.edu/
University of Washington,https://www.washington.edu/
Vanderbilt University,https://www.vanderbilt.edu/
University of Minnesota,https://twin-cities.umn.edu/
University of Wisconsin–Madison,https://www.wisc.edu/
University of Maryland,https://umd.edu/
Pennsylvania State University,https://www.psu.edu/
University of Rochester,https://www.rochester.edu/
Ohio State University,https://www.osu.edu/
University of Alabama,https://www.ua.edu/
University of California-Irvine,https://www.uci.edu/
University of California-Davis,https://www.ucdavis.edu/
Boston College,https://www.bc.edu/
University of Arizona,https://www.arizona.edu/
University of Connecticut,https://www.uconn.edu/
Fordham University,https://www.fordham.edu/
University of Miami,https://www.miami.edu/
University of Oregon,https://www.uoregon.edu/
University of Tennessee,https://www.utk.edu/
Texas Christian University,https://www.tcu.edu/
Howard University,https://howard.edu/
Tulane University,https://tulane.edu/
University of Denver,https://www.du.edu/
University of Nebraska–Lincoln,https://www.unl.edu/
University of New Hampshire,https://www.unh.edu/
University of Vermont,https://www.uvm.edu/
Binghamton University,https://www.binghamton.edu/
University at Buffalo,https://www.buffalo.edu/
University of Louisville,https://louisville.edu/
Case Western Reserve University,https://case.edu/
Clarkson University,https://www.clarkson.edu/
